Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month,Month End Characters,Month No.
2065,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,$406,4,0,$12,Oct,ober,10
2068,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10001419,Office Supplies,Art,Newell 325,$12,3,0,$4,Oct,ober,10
2191,CA-2016-118913,Saturday 25 June 2016,Wednesday 29 June 2016,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Los Angeles,California,90049,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,$61,3,0,$17,Jun,e,6
2492,CA-2014-113579,Saturday 13 December 2014,Monday 15 December 2014,Second Class,KD-16345,Katherine Ducich,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10001457,Office Supplies,Paper,White GlueTop Scratch Pads,$90,6,0,$42,Dec,ember,12
2944,CA-2017-126242,Sunday 19 November 2017,Friday 24 November 2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",$305,9,0,$76,Nov,ember,11
3534,CA-2014-110849,Friday 18 April 2014,Wednesday 23 April 2014,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10002375,Office Supplies,Art,Newell 351,$13,4,0,$4,Apr,il,4
3535,CA-2014-110849,Friday 18 April 2014,Wednesday 23 April 2014,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",$11,5,0,$4,Apr,il,4
3536,CA-2014-110849,Friday 18 April 2014,Wednesday 23 April 2014,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",$12,2,0,$4,Apr,il,4
3565,CA-2016-130029,Sunday 3 July 2016,Wednesday 6 July 2016,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,$13,2,0,$6,Jul,y,7
3566,CA-2016-130029,Sunday 3 July 2016,Wednesday 6 July 2016,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",$4,2,0,$0,Jul,y,7
3759,CA-2015-167745,Friday 18 September 2015,Wednesday 23 September 2015,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",$12,2,0,$5,Sep,tember,9
3760,CA-2015-167745,Friday 18 September 2015,Wednesday 23 September 2015,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10004782,Office Supplies,Supplies,"Elite 5"" Scissors",$17,2,0,$5,Sep,tember,9
3844,CA-2014-101931,Tuesday 28 October 2014,Friday 31 October 2014,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10002301,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,$6,2,0,$0,Oct,ober,10
3845,CA-2014-101931,Tuesday 28 October 2014,Friday 31 October 2014,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,$481,2,0,$14,Oct,ober,10
3847,CA-2014-101931,Tuesday 28 October 2014,Friday 31 October 2014,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$141,5,0,$38,Oct,ober,10
4339,CA-2015-125234,Friday 27 November 2015,Tuesday 1 December 2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$114,3,0,$53,Nov,ember,11
4481,CA-2016-109365,Thursday 3 November 2016,Tuesday 8 November 2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,$15,7,0,$5,Nov,ember,11
4482,CA-2016-109365,Thursday 3 November 2016,Tuesday 8 November 2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-AP-10002998,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,$43,2,0,$14,Nov,ember,11
4484,CA-2016-109365,Thursday 3 November 2016,Tuesday 8 November 2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10001725,Office Supplies,Paper,Xerox 1892,$116,3,0,$57,Nov,ember,11
4486,CA-2016-109365,Thursday 3 November 2016,Tuesday 8 November 2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,$19,3,0,$9,Nov,ember,11
4487,CA-2016-109365,Thursday 3 November 2016,Tuesday 8 November 2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,$315,3,0,$151,Nov,ember,11
4561,CA-2015-118871,Friday 4 December 2015,Wednesday 9 December 2015,Second Class,HM-14860,Harry Marie,Corporate,United States,Los Angeles,California,90049,West,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,$271,3,0,$122,Dec,ember,12
4709,CA-2017-138149,Thursday 29 June 2017,Friday 30 June 2017,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",$131,3,0,$39,Jun,e,6
4710,CA-2017-138149,Thursday 29 June 2017,Friday 30 June 2017,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000255,Office Supplies,Art,Newell 328,$12,2,0,$3,Jun,e,6
5218,CA-2017-134635,Saturday 15 April 2017,Monday 17 April 2017,Second Class,NS-18640,Noel Staavos,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,$79,3,0,$36,Apr,il,4
5328,CA-2014-130813,Monday 6 January 2014,Wednesday 8 January 2014,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,$19,3,0,$9,Jan,uary,1
5737,CA-2014-148614,Monday 20 January 2014,Saturday 25 January 2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",$19,2,0,$9,Jan,uary,1
5896,CA-2014-168305,Saturday 1 November 2014,Saturday 8 November 2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,$44,3,0,$22,Nov,ember,11
5897,CA-2014-168305,Saturday 1 November 2014,Saturday 8 November 2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,$21,5,0,$10,Nov,ember,11
5942,CA-2017-112431,Thursday 12 October 2017,Saturday 14 October 2017,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,$6,2,0,$2,Oct,ober,10
6009,CA-2015-135580,Wednesday 30 December 2015,Sunday 3 January 2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,$69,3,0,$32,Dec,ember,12
6010,CA-2015-135580,Wednesday 30 December 2015,Sunday 3 January 2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,$75,3,0,$14,Dec,ember,12
6012,CA-2015-135580,Wednesday 30 December 2015,Sunday 3 January 2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,$271,3,0,$122,Dec,ember,12
6018,CA-2014-102652,Sunday 6 April 2014,Saturday 12 April 2014,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10003309,Office Supplies,Paper,Xerox 211,$19,3,0,$9,Apr,il,4
6019,CA-2014-102652,Sunday 6 April 2014,Saturday 12 April 2014,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,$55,1,0,$27,Apr,il,4
6030,US-2016-112970,Monday 14 November 2016,Tuesday 15 November 2016,First Class,TB-21250,Tim Brockman,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003829,Office Supplies,Art,Newell 35,$10,3,0,$3,Nov,ember,11
6160,CA-2016-161025,Saturday 3 December 2016,Friday 9 December 2016,Standard Class,GM-14440,Gary McGarr,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,$773,4,0,$108,Dec,ember,12
6284,CA-2016-100944,Saturday 24 September 2016,Wednesday 28 September 2016,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Los Angeles,California,90049,West,OFF-EN-10001453,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",$305,5,0,$143,Sep,tember,9
7067,CA-2016-147473,Monday 30 May 2016,Friday 3 June 2016,Standard Class,NL-18310,Nancy Lomonaco,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10004782,Office Supplies,Paper,Xerox 228,$39,6,0,$19,May,,5
7237,CA-2014-138737,Sunday 7 December 2014,Wednesday 10 December 2014,First Class,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003190,Office Supplies,Art,Newell 32,$9,3,0,$2,Dec,ember,12
7245,US-2017-151127,Monday 22 May 2017,Thursday 25 May 2017,First Class,RL-19615,Rob Lucas,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,$50,7,0,$19,May,,5
7393,CA-2017-147844,Tuesday 2 May 2017,Saturday 6 May 2017,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",$16,5,0,$7,May,,5
7394,CA-2017-147844,Tuesday 2 May 2017,Saturday 6 May 2017,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10001615,Office Supplies,Art,Newell 34,$60,3,0,$15,May,,5
7395,CA-2017-147844,Tuesday 2 May 2017,Saturday 6 May 2017,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",$34,5,0,$16,May,,5
7657,US-2014-120740,Tuesday 15 April 2014,Tuesday 15 April 2014,Same Day,PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049,West,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,$107,2,0,$31,Apr,il,4
7854,CA-2015-144890,Friday 25 December 2015,Tuesday 29 December 2015,Standard Class,SM-20320,Sean Miller,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,$10,2,0,$5,Dec,ember,12
7967,CA-2015-138219,Monday 23 March 2015,Monday 30 March 2015,Standard Class,BP-11095,Bart Pistole,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",$33,4,0,$17,Mar,ch,3
8055,CA-2015-121188,Friday 28 August 2015,Friday 4 September 2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",$892,5,0,$268,Aug,ust,8
8057,CA-2015-121188,Friday 28 August 2015,Friday 4 September 2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,$729,9,0,$29,Aug,ust,8
8173,CA-2014-114125,Wednesday 9 July 2014,Sunday 13 July 2014,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,90049,West,OFF-LA-10004559,Office Supplies,Labels,Avery 49,$3,1,0,$1,Jul,y,7
8175,CA-2014-114125,Wednesday 9 July 2014,Sunday 13 July 2014,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,90049,West,OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",$24,4,0,$4,Jul,y,7
8492,CA-2017-106824,Friday 7 July 2017,Tuesday 11 July 2017,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",$6,3,0,$0,Jul,y,7
8504,CA-2014-164903,Thursday 20 February 2014,Monday 24 February 2014,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10003363,Office Supplies,Paper,Xerox 204,$13,2,0,$6,Feb,ruary,2
8549,CA-2015-149566,Saturday 5 December 2015,Thursday 10 December 2015,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,$13,4,0,$6,Dec,ember,12
8588,CA-2017-162015,Tuesday 11 July 2017,Tuesday 18 July 2017,Standard Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90049,West,OFF-AP-10003040,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,$168,5,0,$44,Jul,y,7
9043,CA-2015-168760,Tuesday 22 September 2015,Saturday 26 September 2015,Second Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Los Angeles,California,90049,West,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,$61,3,0,$17,Sep,tember,9
9216,CA-2016-152646,Monday 21 November 2016,Saturday 26 November 2016,Standard Class,TH-21235,Tiffany House,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,$32,5,0,$16,Nov,ember,11
9229,CA-2014-153619,Monday 3 November 2014,Monday 3 November 2014,Same Day,TC-21535,Tracy Collins,Home Office,United States,Los Angeles,California,90049,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$7,4,0,$3,Nov,ember,11
9521,CA-2016-101189,Thursday 4 February 2016,Tuesday 9 February 2016,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,$93,2,0,$4,Feb,ruary,2
9617,CA-2016-140256,Monday 22 August 2016,Monday 29 August 2016,Standard Class,PW-19030,Pauline Webber,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10002255,Office Supplies,Art,Newell 346,$6,2,0,$2,Aug,ust,8
9732,CA-2017-124261,Tuesday 14 November 2017,Sunday 19 November 2017,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003504,Office Supplies,Art,Newell 347,$34,8,0,$10,Nov,ember,11
27,CA-2016-121755,Saturday 16 January 2016,Wednesday 20 January 2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$91,3,0,$12,Jan,uary,1
1626,CA-2015-157084,Saturday 19 December 2015,Thursday 24 December 2015,Standard Class,JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,"$1,266",3,0,$557,Dec,ember,12
1808,US-2016-116729,Sunday 25 December 2016,Wednesday 28 December 2016,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,$254,7,0,$76,Dec,ember,12
2067,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,$252,9,0,$48,Oct,ober,10
2709,CA-2015-121797,Friday 30 January 2015,Friday 6 February 2015,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",$227,7,0,$82,Jan,uary,1
2945,CA-2017-126242,Sunday 19 November 2017,Friday 24 November 2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10002685,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",$19,1,0,$7,Nov,ember,11
3129,CA-2014-136399,Tuesday 16 December 2014,Wednesday 17 December 2014,First Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",$44,2,0,$15,Dec,ember,12
3131,CA-2014-136399,Tuesday 16 December 2014,Wednesday 17 December 2014,First Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,$395,5,0,$40,Dec,ember,12
3761,CA-2015-167745,Friday 18 September 2015,Wednesday 23 September 2015,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10001591,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,$24,2,0,$10,Sep,tember,9
4338,CA-2015-125234,Friday 27 November 2015,Tuesday 1 December 2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,$108,3,0,$23,Nov,ember,11
4563,CA-2015-118871,Friday 4 December 2015,Wednesday 9 December 2015,Second Class,HM-14860,Harry Marie,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",$36,5,0,$14,Dec,ember,12
4711,CA-2017-138149,Thursday 29 June 2017,Friday 30 June 2017,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,$62,3,0,$22,Jun,e,6
5738,CA-2014-148614,Monday 20 January 2014,Saturday 25 January 2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19,2,0,$6,Jan,uary,1
5941,CA-2017-112431,Thursday 12 October 2017,Saturday 14 October 2017,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,$436,12,0,$131,Oct,ober,10
6016,CA-2014-102652,Sunday 6 April 2014,Saturday 12 April 2014,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,$92,2,0,$16,Apr,il,4
6017,CA-2014-102652,Sunday 6 April 2014,Saturday 12 April 2014,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,$33,7,0,$13,Apr,il,4
6913,US-2017-128398,Tuesday 2 May 2017,Friday 5 May 2017,Second Class,EM-13825,Elizabeth Moffitt,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,$160,4,0,$59,May,,5
7658,US-2014-120740,Tuesday 15 April 2014,Tuesday 15 April 2014,Same Day,PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049,West,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",$188,4,0,$77,Apr,il,4
8060,CA-2015-121188,Friday 28 August 2015,Friday 4 September 2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,$4,2,0,$2,Aug,ust,8
8116,CA-2017-101014,Tuesday 29 August 2017,Monday 4 September 2017,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,$148,3,0,$41,Aug,ust,8
8548,CA-2015-149566,Saturday 5 December 2015,Thursday 10 December 2015,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,$39,3,0,$18,Dec,ember,12
8587,CA-2017-162015,Tuesday 11 July 2017,Tuesday 18 July 2017,Standard Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,"$1,287",5,0,$245,Jul,y,7
9141,CA-2017-123029,Saturday 30 September 2017,Monday 2 October 2017,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,$160,2,0,$48,Sep,tember,9
9666,CA-2017-157448,Thursday 16 November 2017,Monday 20 November 2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,$120,3,0,$24,Nov,ember,11
9667,CA-2017-157448,Thursday 16 November 2017,Monday 20 November 2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,$12,3,0,$4,Nov,ember,11
161,CA-2016-162733,Wednesday 11 May 2016,Thursday 12 May 2016,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,$6,1,0,$3,May,,5
420,CA-2017-110478,Saturday 4 March 2017,Thursday 9 March 2017,Standard Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-AR-10001573,Office Supplies,Art,American Pencil,$9,4,0,$3,Mar,ch,3
421,CA-2017-110478,Saturday 4 March 2017,Thursday 9 March 2017,Standard Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",$15,1,0,$7,Mar,ch,3
485,CA-2017-140963,Saturday 10 June 2017,Tuesday 13 June 2017,First Class,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,$30,2,0,$15,Jun,e,6
557,CA-2016-113243,Friday 10 June 2016,Wednesday 15 June 2016,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West,OFF-LA-10001297,Office Supplies,Labels,Avery 473,$21,2,0,$10,Jun,e,6
